DateTime,cpu %user,cpu %nice,cpu %sys,cpu %iowait,cpu %steal,%idle,Total Memory,Used Memory,Free Memory,Shared Memory,Buffers Memory,Cached Memory,Load-1Min,Load-5Min,Load-15Min,Server Status
08-04-2019 23:55,17.35,0,13.27,0,0,69.39,7823,5036,1111,283,1674,2144,0.01,0.06,0.1,Normal
09-04-2019 00:00,4,0,8.5,0,0,87.5,7823,5021,1126,283,1675,2159,0.06,0.06,0.08,Normal
09-04-2019 00:05,9.05,0,16.08,30.65,0,44.22,7823,5025,1109,283,1688,2156,0.07,0.05,0.07,Normal
09-04-2019 00:10,3.05,0,9.64,0,0,87.31,7823,5023,824,283,1974,2158,0,0.04,0.05,Normal
09-04-2019 00:15,11.62,0,34.85,13.64,0,39.9,7823,5027,814,283,1981,2154,0.21,0.14,0.08,Normal
09-04-2019 00:20,14.07,0,10.55,0,0,75.38,7823,5048,793,283,1981,2133,0.17,0.1,0.07,Normal
09-04-2019 00:25,2.53,0,9.09,0,0,88.38,7823,5024,816,283,1982,2157,0.03,0.06,0.05,Normal
09-04-2019 00:30,2.01,0,5.53,0,0,92.46,7823,5024,816,283,1982,2157,0.28,0.11,0.06,Normal
09-04-2019 00:35,3.52,0,8.54,0,0,87.94,7823,5023,817,283,1982,2158,0.06,0.07,0.05,Normal
09-04-2019 00:45,2,0,5.5,0,0,92.5,7823,5023,817,283,1982,2158,0,0.07,0.08,Normal
09-04-2019 00:50,0.5,0,2.51,0,0,96.98,7823,5063,776,283,1982,2118,0.37,0.13,0.09,Normal
09-04-2019 00:55,2.51,0,8.04,0,0,89.45,7823,5024,816,283,1982,2158,0,0.06,0.07,Normal
09-04-2019 01:00,3.02,0,6.53,0,0,90.45,7823,5023,816,283,1982,2158,0.02,0.05,0.05,Normal
09-04-2019 01:05,2.02,0,5.56,0,0,92.42,7823,5023,816,283,1982,2158,0.17,0.07,0.06,Normal
09-04-2019 01:10,67.49,0,32.51,0,0,0,7823,5218,619,283,1984,1961,0.33,0.11,0.07,Warning
09-04-2019 01:15,32.5,0,17,0,0,50.5,7823,5126,713,283,1983,2055,0.33,0.13,0.08,Warning
09-04-2019 01:20,3.52,0,7.54,0,0,88.94,7823,5024,816,283,1982,2158,0.08,0.08,0.06,Normal
09-04-2019 01:25,2.5,0,6,0,0,91.5,7823,5037,803,283,1982,2145,0.01,0.06,0.05,Normal
09-04-2019 01:30,1.5,0,4.5,0,0,94,7823,5024,815,283,1983,2157,0.01,0.05,0.05,Normal
09-04-2019 01:35,2.51,0,8.04,0,0,89.45,7823,5087,751,283,1983,2093,0.08,0.05,0.05,Warning
09-04-2019 01:40,2,0,6.5,0,0,91.5,7823,5035,803,283,1984,2145,0.67,0.24,0.11,Normal
09-04-2019 01:45,2.5,0,6.5,0,0,91,7823,5023,816,283,1983,2158,0.03,0.13,0.11,Normal
09-04-2019 01:50,2.51,0,5.53,0,0,91.96,7823,5023,815,283,1983,2158,0.13,0.1,0.1,Normal
09-04-2019 01:55,2.53,0,7.58,0,0,89.9,7823,5023,815,283,1984,2157,0.01,0.06,0.09,Normal
09-04-2019 02:00,3.02,0,6.53,0,0,90.45,7823,5036,802,283,1984,2145,0,0.02,0.06,Normal
09-04-2019 02:05,31.16,0,18.09,0,0,50.75,7823,5061,776,283,1984,2119,0.13,0.12,0.09,Normal
09-04-2019 02:10,2.5,0,8,0,0,89.5,7823,5075,762,283,1984,2105,0.01,0.06,0.07,Normal
09-04-2019 02:15,2.49,0,6.97,0,0,90.55,7823,5024,814,283,1984,2157,0.03,0.05,0.06,Normal
